epoch,accuracy,loss,val_accuracy,val_loss
0,0.37863272428512573,1.329472303390503,0.4149855971336365,1.296162486076355
1,0.6280099749565125,1.0027480125427246,0.6426513195037842,0.9473889470100403
2,0.798505425453186,0.5820478200912476,0.6974063515663147,0.7795478701591492
3,0.8488790392875671,0.4111006557941437,0.6945244669914246,0.7730851769447327
4,0.8843066692352295,0.3183673918247223,0.6772334575653076,0.8026761412620544
5,0.9122613072395325,0.26187634468078613,0.6858789920806885,0.8411780595779419
6,0.9330196380615234,0.20601201057434082,0.6858789920806885,0.8901920318603516
7,0.947135329246521,0.17035609483718872,0.7118155360221863,0.9249880313873291
8,0.9554386734962463,0.1469816267490387,0.680115282535553,1.0148330926895142
9,0.9612510204315186,0.12429200857877731,0.6887608170509338,1.0751346349716187
10,0.9667866230010986,0.1105651780962944,0.6916426420211792,1.1062874794006348
11,0.9659562706947327,0.10598450899124146,0.6916426420211792,1.1521952152252197
12,0.9731525182723999,0.09257485717535019,0.6945244669914246,1.2109858989715576
13,0.971491813659668,0.09158895909786224,0.6887608170509338,1.2189807891845703
14,0.972875714302063,0.08523023873567581,0.6743515729904175,1.2935320138931274
15,0.9717686176300049,0.09120865166187286,0.6945244669914246,1.3230297565460205
16,0.9761970639228821,0.07592502236366272,0.7002881765365601,1.3083655834197998
17,0.9753667116165161,0.07005354017019272,0.7060518860816956,1.3197975158691406
18,0.9753667116165161,0.06742845475673676,0.6829971075057983,1.3625123500823975
19,0.9786880612373352,0.061865027993917465,0.6916426420211792,1.4326468706130981
20,0.9778577089309692,0.06383299827575684,0.6772334575653076,1.4500526189804077
21,0.9773041605949402,0.06302627176046371,0.7002881765365601,1.4207059144973755
22,0.9775809645652771,0.05985640734434128,0.7146974205970764,1.4358491897583008
23,0.9761970639228821,0.06077217683196068,0.7002881765365601,1.4493390321731567
24,0.9767506122589111,0.059651754796504974,0.7146974205970764,1.4846724271774292
